Metrics,AUC (roc_auc_score),maxHR@0.9,Hr@0.1,Fp@0.1,Fn@0.1,Hr@0.2,Fp@0.2,Fn@0.2,Hr@0.3,Fp@0.3,Fn@0.3,Hr@0.4,Fp@0.4,Fn@0.4,Hr@0.5,Fp@0.5,Fn@0.5,Hr@0.6,Fp@0.6,Fn@0.6,Hr@0.7,Fp@0.7,Fn@0.7,Hr@0.8,Fp@0.8,Fn@0.8,Hr@0.9,Fp@0.9,Fn@0.9,AUCBaseLine,maxHRBaseLine@0.3,HrBaseLine@0.1,FpBaseLine@0.1,FnBaseLine@0.1,HrBaseLine@0.2,FpBaseLine@0.2,FnBaseLine@0.2,HrBaseLine@0.3,FpBaseLine@0.3,FnBaseLine@0.3,HrBaseLine@0.4,FpBaseLine@0.4,FnBaseLine@0.4,HrBaseLine@0.5,FpBaseLine@0.5,FnBaseLine@0.5,HrBaseLine@0.6,FpBaseLine@0.6,FnBaseLine@0.6,HrBaseLine@0.7,FpBaseLine@0.7,FnBaseLine@0.7,HrBaseLine@0.8,FpBaseLine@0.8,FnBaseLine@0.8,HrBaseLine@0.9,FpBaseLine@0.9,FnBaseLine@0.9,Pvalue,stat,HitRate@5: ,HitRate@10: ,HitRate@20: ,MRR@5: ,MRR@10: ,MRR@20: ,NDCG@5: ,NDCG@10: ,NDCG@20: ,Coverage@20: ,Popularity@20: ,EOS_FN@5: ,EOS_FN@10: ,EOS_FN@20: ,EOS_FP@5: ,EOS_FP@10: ,EOS_FP@20: ,EOS_PREDICTED_COUNT@5: ,EOS_PREDICTED_COUNT@10: ,EOS_PREDICTED_COUNT@20: ,EOS_ACTUAL_COUNT@1: ,EOS_HIT_COUNT@5: ,EOS_HIT_COUNT@10: ,EOS_HIT_COUNT@20: ,EOS_HIT_RATE@5: ,EOS_HIT_RATE@10: ,EOS_HIT_RATE@20: ,Saver@50: ,Training time:,Testing time seconds:,Testing time cpu:
rsc15_64_1EOS_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,0.735906736,0.784634867,0.462178134,0.525988462,0.011833404,0.666610384,0.263754045,0.069635571,0.734571549,0.15277895,0.1126495,0.762543971,0.086140425,0.151315604,0.775320107,0.048895455,0.175784438,0.78027297,0.026888983,0.192838047,0.782763473,0.013648516,0.203588012,0.78359364,0.006711693,0.209694667,0.784634867,0.001702547,0.213662586,0.456959167,0.784831856,0.216153089,0.783649923,0.000196989,0.265034473,0.728127199,0.006838328,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0,950610930,0.543604897,0.665611369,0.760953989,0.348953145,0.365401432,0.372164999,0.457701187,0.499902663,0.524837909,0.719517173,0.045783041,0.010257493,0.004699592,0.002392008,0.522498945,0.557492613,0.592542564,51697,54579,57234,15292,14563,14958,15122,0.204910651,0.210468552,0.212776136,1,72241.72777,0.02880226,0.02880226
rsc15_64_1EOS_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.722420676,0.783298157,0.449908541,0.545631068,0.004460391,0.540523428,0.437610806,0.021865766,0.676009568,0.232503166,0.091487266,0.775291966,0.028901083,0.195806951,0.77850007,0.017602364,0.203897566,0.781018714,0.010707753,0.208273533,0.781848881,0.007330801,0.210820318,0.782524272,0.004910651,0.212565077,0.783298157,0.002842268,0.213859575,0.456959167,0.784831856,0.216153089,0.783649923,0.000196989,0.265034473,0.728127199,0.006838328,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,7.68E-13,1223594314,0.577782468,0.696383847,0.788011819,0.379568735,0.395544668,0.402049266,0.494179135,0.535185563,0.55915527,0.438043035,0.044596452,0.003827213,0.00132264,0.000478402,0.535092163,0.555691572,0.564316871,53049,54691,55364,15292,15020,15198,15258,0.211340931,0.213845504,0.214689743,1,20718.15171,0.014434409,0.014434409
rsc15_64_1EOS vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,0.545598859,0.784831856,0.22106374,0.778317152,0.000619108,0.288785704,0.697804981,0.013409315,0.779667933,0.010792177,0.20953989,0.784803715,4.22E-05,0.215154073,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.456959167,0.784831856,0.216153089,0.783649923,0.000196989,0.265034473,0.728127199,0.006838328,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,0.784831856,0,0.215168144,1.35E-36,1193644764,0.398213029,0.585282116,0.735134375,0.21461681,0.239554771,0.250179058,0.312409433,0.376753474,0.415935653,0.770540556,0.033770224,0.186576615,0.120599409,0.070437597,0.074518081,0.240678205,0.409638385,7328,23826,39399,15292,2032,6721,10286,0.028591529,0.094568735,0.144730547,1,4167.405836,0.009520132,0.009520132
retailrocket_1EOS_W0_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,0.694050298,0.711311589,0.305777238,0.692314365,0.001908397,0.677914643,0.207147814,0.114937543,0.687543373,0.170801527,0.141655101,0.692661346,0.148247745,0.159090909,0.696564885,0.131592644,0.171842471,0.700208189,0.115458015,0.184333796,0.704198473,0.09758848,0.198213046,0.708188758,0.074427481,0.217383761,0.711311589,0,0.288688411,0.389995218,0.711311589,0.290510062,0.709142956,0.000346981,0.318355309,0.678782096,0.002862595,0.422623178,0.288688411,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,1.65E-08,31213936,0.484646079,0.554215822,0.614590562,0.349670368,0.359049602,0.363284083,0.430547225,0.454611274,0.470334095,0.55275276,0.030545622,0.062022901,0.043719639,0.032789729,0.287126995,0.318962526,0.346894518,5923,6501,6949,3328,2613,2824,2950,0.22666551,0.244968772,0.255898681,1,4452.298243,0.01339177,0.01339177
retailrocket_1EOS_W0_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.743433726,0.704545455,0.601839001,0.388879251,0.009281749,0.623265094,0.349757113,0.026977793,0.64703331,0.294760583,0.058206107,0.668546149,0.225711312,0.10574254,0.692140874,0.15111034,0.156748786,0.699774462,0.097328244,0.202897294,0.702290076,0.060981957,0.236727967,0.703504511,0.041030534,0.255464955,0.704545455,0.028625954,0.266828591,0.389995218,0.711311589,0.290510062,0.709142956,0.000346981,0.318355309,0.678782096,0.002862595,0.422623178,0.288688411,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,4.66E-23,29703273,0.538688411,0.600624566,0.651804303,0.411282674,0.419634837,0.423215916,0.490114632,0.511540839,0.524854676,0.56683822,0.03583023,0.005985427,0.002342124,0.00130118,0.4092644,0.416030534,0.420541291,7977,8097,8161,3328,3259,3301,3313,0.282702984,0.286346287,0.287387231,1,6712.581243,0.022686764,0.022686764
retailrocket_1EOS_W0_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,0.517189955,0.711311589,0.294413602,0.705152672,0.000433727,0.323560028,0.672102706,0.004337266,0.590475364,0.216342817,0.193181818,0.710964608,0.000867453,0.288167939,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.389995218,0.711311589,0.290510062,0.709142956,0.000346981,0.318355309,0.678782096,0.002862595,0.422623178,0.288688411,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,0.711311589,0,0.288688411,7.73E-35,28826950,0.35999306,0.460877863,0.585964608,0.239378036,0.25277289,0.261453512,0.309671008,0.344301336,0.37674523,0.633371707,0.028802937,0.255031228,0.198820264,0.114156836,0.076769604,0.197172103,0.394777932,1273,3309,6563,3328,388,1036,2012,0.033657183,0.089868147,0.174531575,1,753.7125781,0.006126408,0.006126408
retailrocket_1EOS_W3_LR_csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,0.709871388,0.717233473,0.625296141,0.319220481,0.055483378,0.637218189,0.282995797,0.079786015,0.647841039,0.25823462,0.093924341,0.655254108,0.236912495,0.107833397,0.662590753,0.215590371,0.121818877,0.675888422,0.186855178,0.1372564,0.695529232,0.141230417,0.163240352,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.413698239,0.717233473,0.304929308,0.694153611,0.000917081,0.337485671,0.659075277,0.003439052,0.462132212,0.410317157,0.12755063,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,1.23E-136,32073527,0.514405808,0.568207872,0.615208254,0.392302891,0.39959347,0.402876007,0.46700882,0.485666618,0.497885653,0.565056965,0.035588401,0.021627818,0.015208254,0.010546427,0.391364157,0.413450516,0.430875048,8538,8911,9200,3700,3417,3501,3562,0.261138708,0.267558273,0.272220099,1,4508.679293,0.014095221,0.014095221
retailrocket_1EOS_W3_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.752692479,0.710737486,0.59006496,0.399159343,0.010775697,0.632097822,0.339625525,0.028276653,0.661902942,0.275659152,0.062437906,0.6875812,0.200993504,0.111425296,0.70271303,0.132441727,0.164845243,0.710661062,0.083148643,0.206190294,0.710737486,0.056018342,0.233244173,0.706304929,0.039893007,0.253802063,0.707145587,0.030187237,0.262667176,0.413698239,0.717233473,0.305846389,0.69323653,0.000917081,0.337485671,0.659075277,0.003439052,0.462132212,0.410317157,0.12755063,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,3.15E-07,40602516,0.527015667,0.579977073,0.627741689,0.404514075,0.411533896,0.414902142,0.482281771,0.500446478,0.512911091,0.607522009,0.036385985,0.005961024,0.002827665,0.001757738,0.419487963,0.42911731,0.438517386,9111,9278,9415,3700,3622,3663,3677,0.276805502,0.279938861,0.281008789,1,7941.179445,0.023811331,0.023811331
retailrocket_1EOS_W3_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,0.525146712,0.717233473,0.308674054,0.690485288,0.000840657,0.34176538,0.652655713,0.005578907,0.551853267,0.277569736,0.170576997,0.716087123,0.001375621,0.282537256,0.717080627,0.000152847,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.413698239,0.717233473,0.304929308,0.694153611,0.000917081,0.337485671,0.659075277,0.003439052,0.462132212,0.410317157,0.12755063,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,0.717233473,0,0.282766527,3.23E-76,34824228,0.355292319,0.445089797,0.553305311,0.243714177,0.255536177,0.263046269,0.308388196,0.339083239,0.367153122,0.646005955,0.027101441,0.246618265,0.197707298,0.123118074,0.086511272,0.200382117,0.37539167,1605,3735,7001,3700,473,1113,2089,0.036148261,0.085059228,0.159648452,1,776.6563361,0.006544841,0.006544841
retailrocket_1EOS_W5_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,0.700525765,0.712885489,0.621005658,0.324886445,0.054107897,0.63335724,0.288389513,0.078253247,0.642760379,0.263208224,0.094031397,0.650649454,0.243126942,0.106223603,0.658458841,0.223842537,0.117698621,0.668101044,0.198661248,0.133237708,0.678221372,0.166069009,0.155709618,0.712885489,0.07514543,0.211969081,0.703880787,0,0.296119213,0.388127422,0.703880787,0.29922703,0.700533907,0.000239063,0.320503626,0.678061997,0.001434377,0.41429596,0.541158658,0.044545382,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,8.04E-167,28219680,0.506414854,0.550561798,0.593911865,0.396428666,0.402393127,0.405437322,0.464588517,0.47987521,0.491170272,0.581666855,0.035024559,0.028687545,0.020479719,0.014981273,0.36967089,0.388078731,0.409435015,7995,8329,8666,3716,3356,3459,3528,0.267431668,0.275639493,0.281137939,1,3229.276439,0.012632268,0.012632268
retailrocket_1EOS_W5_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.742965512,0.694238585,0.621404096,0.361542752,0.017053152,0.641485377,0.318989561,0.039525062,0.6561479,0.273248864,0.070603235,0.668340107,0.228623795,0.103036098,0.678858873,0.185353415,0.135787712,0.684197944,0.145828353,0.169973703,0.694158897,0.105586102,0.200255,0.694238585,0.074428241,0.231333174,0.693282333,0.046776636,0.259941031,0.388127422,0.703880787,0.299466093,0.700294844,0.000239063,0.320503626,0.678061997,0.001434377,0.41429596,0.541158658,0.044545382,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,6.46E-33,34537162,0.528408638,0.575504024,0.614790023,0.407955481,0.41441663,0.417181308,0.484536546,0.500970508,0.511213604,0.627424396,0.035407017,0.00940314,0.00502032,0.00302813,0.394055303,0.401067814,0.406167822,8543,8686,8775,3716,3598,3653,3678,0.286716073,0.291098892,0.293091083,1,5401.607828,0.020565495,0.020565495
retailrocket_1EOS_W5_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,0.521299375,0.703880787,0.302733286,0.696868276,0.000398438,0.322894255,0.675113555,0.001992191,0.391106861,0.531596143,0.077296996,0.702047972,0.00302813,0.294923898,0.7038011,7.97E-05,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.388127422,0.703880787,0.29922703,0.700533907,0.000239063,0.320503626,0.678061997,0.001434377,0.41429596,0.541158658,0.044545382,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.703880787,0,0.296119213,0.675714085,39202722,0.365049008,0.464817914,0.578532154,0.249313358,0.262595009,0.270558485,0.313827352,0.348119711,0.377717706,0.640266637,0.032377994,0.247270699,0.184875289,0.098732967,0.116503307,0.259622281,0.441867878,2075,4654,8022,3716,613,1396,2477,0.048848514,0.111243924,0.197386246,1,490.1088932,0.005654361,0.005654361
diginetica_1EOS_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.638249207,0.791091748,0.416880161,0.582729696,0.000390142,0.457519995,0.518655309,0.023824696,0.744560765,0.078808765,0.17663047,0.778698225,0.022823331,0.198478445,0.783926133,0.014058131,0.202015736,0.786761168,0.009155342,0.20408349,0.788581832,0.005982183,0.205435984,0.789921321,0.003771377,0.206307302,0.791091748,0.001885688,0.207022563,0.612792441,0.792327199,0.207672801,0.792327199,0,0.624683009,0.247402302,0.127914689,0.784706418,0.010754926,0.204538657,0.79126081,0.001352494,0.207386696,0.792197152,0.000182066,0.207620782,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,2.55E-291,1253947003,0.35482151,0.44416412,0.549879706,0.257251447,0.269083062,0.27637406,0.310488105,0.341117047,0.368471892,0.566301675,0.040039269,0.001339489,0.000286104,7.80E-05,0.580362832,0.5838351,0.584472332,60493,60841,60906,15969,15866,15947,15963,0.206333312,0.207386696,0.207594772,1,37994.689,0.024248398,0.024248398
diginetica_1EOS_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,0.587763275,0.792327199,0.207672801,0.792327199,0,0.581143117,0.313609467,0.105247415,0.772143832,0.029312699,0.198543468,0.789258079,0.004174524,0.206567397,0.791833019,0.000598218,0.207568763,0.792223161,0.000117043,0.207659796,0.792288185,5.20E-05,0.207659796,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.612792441,0.792327199,0.207672801,0.792327199,0,0.624683009,0.247402302,0.127914689,0.786097926,0.0084921,0.205409975,0.791468886,0.001105403,0.20742571,0.792249171,0.000130047,0.207620782,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,4.21E-17,1426481478,0.228675467,0.329020092,0.494674556,0.127756464,0.140928611,0.152122327,0.182807894,0.217058834,0.259597534,0.967939498,0.02061378,0.206606411,0.193419598,0.12169842,0.004408609,0.051979973,0.317003706,421,5093,30987,15969,82,1096,6611,0.001066389,0.014253202,0.085974381,1,6266.373142,0.008834628,0.008834628
diginetica_10EOS_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,0.657423228,0.792249171,0.469328305,0.504584173,0.026087522,0.628948566,0.271838221,0.099213213,0.697444567,0.164965212,0.13759022,0.731842122,0.108459588,0.15969829,0.752116523,0.073333767,0.174549711,0.767683204,0.046413941,0.185902855,0.779231419,0.025021133,0.195747448,0.789076013,0.00613824,0.204785747,0.792249171,0.000182066,0.207568763,0.612792441,0.792327199,0.207672801,0.792327199,0,0.624683009,0.247402302,0.127914689,0.786097926,0.0084921,0.205409975,0.791468886,0.001105403,0.20742571,0.792249171,0.000130047,0.207620782,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,1.33E-127,1330473040,0.30422004,0.427348982,0.560283503,0.174209637,0.190592186,0.199849861,0.242330466,0.284640951,0.31916495,0.799304186,0.040013622,0.073892971,0.038468041,0.015072501,0.343221276,0.454828012,0.534339034,36679,47985,55898,15969,10287,13011,14810,0.13377983,0.16920476,0.192600299,1,26715.859,0.018223502,0.018223502
diginetica_10EOS_LR  sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,0.637525947,0.790675597,0.413602965,0.58534365,0.001053384,0.495168737,0.462604851,0.042226413,0.757201379,0.059821835,0.182976787,0.777384745,0.025346251,0.197269003,0.78306782,0.015436634,0.201495546,0.785486703,0.010715911,0.203797386,0.7873984,0.007516744,0.205084856,0.789036999,0.004850771,0.206112231,0.790675597,0.002626959,0.206697445,0.612792441,0.792327199,0.207672801,0.792327199,0,0.624683009,0.247402302,0.127914689,0.784706418,0.010754926,0.204538657,0.79126081,0.001352494,0.207386696,0.792197152,0.000182066,0.207620782,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,0.792327199,0,0.207672801,2.14E-69,1369947947,0.287469927,0.406268288,0.530853762,0.176095542,0.191878912,0.200567098,0.233803102,0.274595782,0.306969457,0.588611852,0.042458381,0.069731452,0.03284999,0.006892516,0.354314325,0.469731452,0.562624358,37852,49563,58702,15969,10607,13443,15439,0.137941349,0.17482281,0.200780285,1,44882.65824,0.02680942,0.02680942
